0
"Label, TN, FP, FN, TP"
"Google Common,95,8,28,11"
"Test,106,3,27,6"
"SO,128,1,13,0"
"IO,5,39,2,96"
"UI,16,32,7,87"
"Network,87,5,38,12"
"Security,137,0,5,0"
"OpenOffice Documents,135,0,7,0"
"Database,134,0,8,0"
"PDF,137,2,3,0"
"Logging,14,37,11,80"
"Latex,139,1,1,1"
