0
"Label, TN, FP, FN, TP"
"Google Common,94,9,32,7"
"Test,82,11,37,12"
"SO,127,2,12,1"
"IO,13,24,13,92"
"UI,17,34,11,80"
"Network,79,15,38,10"
"Security,137,1,4,0"
"OpenOffice Documents,141,0,1,0"
"Database,135,1,6,0"
"PDF,138,0,4,0"
"Logging,20,28,34,60"
"Latex,141,0,0,1"
