date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i
53:21.2,"(1, 1)",1432,Yes,0.2,RandomForest,0.147887324,21,0.852112676,0.707088303,0.170774648,0.502095909,0.487676056,0.699494949,0.616926503,0.655621302,4
53:22.5,"(1, 1)",1432,Yes,0.2,RandomForest,0.126760563,18,0.873239437,0.695122548,0.164319249,0.514115247,0.5,0.687960688,0.64665127,0.666666667,5
53:23.8,"(1, 1)",1432,Yes,0.2,RandomForest,0.105633803,15,0.894366197,0.698491693,0.174295775,0.492493852,0.480769231,0.701530612,0.604395604,0.649350649,6
53:25.2,"(1, 1)",1432,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.617436416,0.185446009,0.453311536,0.439716312,0.623115578,0.599033816,0.610837438,7
53:26.5,"(1, 1)",1432,Yes,0.2,RandomForest,0.098591549,14,0.901408451,0.65980063,0.165492958,0.480533199,0.48540146,0.666666667,0.640963855,0.653562654,8
53:28.2,"(1, 1)",1432,Yes,0.2,RandomForest,0.112676056,16,0.887323944,0.654553856,0.169014085,0.462726358,0.463687151,0.613300493,0.655263158,0.633587786,9
53:30.3,"(1, 1)",716,Yes,0.2,RandomForest,0.161971831,23,0.838028169,0.728039902,0.160211268,0.528937514,0.515097691,0.707317073,0.65462754,0.679953107,0
53:31.5,"(1, 1)",716,Yes,0.2,RandomForest,0.084507042,12,0.915492958,0.648718485,0.186619718,0.443824055,0.443082312,0.638888889,0.591121495,0.61407767,1
53:32.7,"(1, 1)",716,Yes,0.2,RandomForest,0.091549296,13,0.908450704,0.652367641,0.183685446,0.455594679,0.450877193,0.629901961,0.613365155,0.621523579,2
53:34.0,"(1, 1)",716,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.680314798,0.178403756,0.476729823,0.471304348,0.66097561,0.621559633,0.640661939,3
53:35.1,"(1, 1)",716,Yes,0.2,RandomForest,0.14084507,20,0.85915493,0.70171884,0.167840376,0.506240219,0.49380531,0.706329114,0.621380846,0.661137441,4
53:36.4,"(1, 1)",716,Yes,0.2,RandomForest,0.169014085,24,0.830985915,0.689929664,0.166079812,0.513802258,0.492831541,0.6875,0.635103926,0.660264106,5
53:37.7,"(1, 1)",716,Yes,0.2,RandomForest,0.11971831,17,0.88028169,0.690062446,0.171948357,0.50079924,0.488656195,0.703517588,0.615384615,0.656506448,6
