date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i
2020-05-19 19:10:34.899318,"(1, 1)",716,Yes,0.2,RandomForest,0.15492957746478872,22,0.8450704225352113,0.7275165564482257,0.1619718309859155,0.528247261345853,0.5097690941385435,0.7051597051597052,0.6478555304740407,0.6752941176470588,0
2020-05-19 19:10:36.106856,"(1, 1)",716,Yes,0.2,RandomForest,0.08450704225352113,12,0.9154929577464788,0.6657828596069084,0.1766431924882629,0.4596523585960207,0.4672566371681416,0.6583541147132169,0.616822429906542,0.6369119420989143,1
2020-05-19 19:10:37.289038,"(1, 1)",716,Yes,0.2,RandomForest,0.07042253521126761,10,0.9295774647887324,0.6475474044907045,0.18309859154929573,0.4555946791862285,0.4564459930313589,0.6282973621103117,0.6252983293556086,0.6267942583732057,2
2020-05-19 19:10:38.449812,"(1, 1)",716,Yes,0.2,RandomForest,0.11971830985915492,17,0.8802816901408451,0.6735954317645463,0.1789906103286385,0.4724597585513078,0.4714038128249567,0.6585956416464891,0.6238532110091743,0.64075382803298,3
2020-05-19 19:10:39.594093,"(1, 1)",716,Yes,0.2,RandomForest,0.18309859154929573,26,0.8169014084507042,0.708138281324894,0.1619718309859155,0.5251984126984127,0.5106382978723404,0.7146401985111662,0.6414253897550112,0.676056338028169,4
2020-05-19 19:10:40.758693,"(1, 1)",716,Yes,0.2,RandomForest,0.13380281690140844,19,0.8661971830985915,0.7000355170642026,0.16901408450704225,0.502026045159848,0.4838709677419355,0.6835443037974683,0.6235565819861432,0.6521739130434783,5
2020-05-19 19:10:41.920723,"(1, 1)",716,Yes,0.2,RandomForest,0.09859154929577464,14,0.9014084507042254,0.6946194200628251,0.1766431924882629,0.48319360608093,0.4728546409807355,0.6994818652849741,0.5934065934065934,0.6420927467300833,6
2020-05-19 19:10:43.117057,"(1, 1)",716,Yes,0.2,RandomForest,0.11971830985915492,17,0.8802816901408451,0.635635256889168,0.18192488262910803,0.4565392354124748,0.4474153297682709,0.6306532663316583,0.606280193236715,0.6182266009852218,7
2020-05-19 19:10:44.304451,"(1, 1)",716,Yes,0.2,RandomForest,0.1056338028169014,15,0.8943661971830986,0.6680559147269495,0.16666666666666666,0.4824111334674714,0.484573502722323,0.6625310173697271,0.6433734939759036,0.6528117359413204,8
2020-05-19 19:10:45.462420,"(1, 1)",716,Yes,0.2,RandomForest,0.11971830985915492,17,0.8802816901408451,0.6418786341126832,0.16666666666666666,0.46753856472166333,0.4681647940074906,0.6188118811881188,0.6578947368421053,0.6377551020408163,9
