Google Common,Test,SO,IO,UI,Network,Security,OpenOffice Documents,Database,PDF,Logging,Latex
0.75,0.7692307692307693,0.3333333333333333,0.6854838709677419,0.6065573770491803,0.7272727272727273,0.0,0.0,0.0,0.0,0.5338983050847458,0.0
0.23076923076923078,0.24390243902439024,0.14285714285714285,0.9340659340659341,0.925,0.25,0.0,0.0,0.0,0.0,0.863013698630137,0.0
0.3529411764705882,0.37037037037037035,0.2,0.7906976744186046,0.7326732673267327,0.37209302325581395,0.0,0.0,0.0,0.0,0.6596858638743456,0.0
39.0,41.0,7.0,91.0,80.0,32.0,4.0,4.0,5.0,2.0,73.0,2.0
