Google Common,Test,SO,IO,UI,Network,Security,OpenOffice Documents,Database,PDF,Logging,Latex
0.3076923076923077,0.625,0.3333333333333333,0.7281553398058253,0.6216216216216216,0.375,0.0,0.0,0.0,0.0,0.5544554455445545,0.0
0.20512820512820512,0.36585365853658536,0.14285714285714285,0.8241758241758241,0.8625,0.28125,0.0,0.0,0.0,0.0,0.7671232876712328,0.0
0.2461538461538462,0.4615384615384615,0.2,0.7731958762886598,0.7225130890052355,0.32142857142857145,0.0,0.0,0.0,0.0,0.6436781609195403,0.0
39.0,41.0,7.0,91.0,80.0,32.0,4.0,4.0,5.0,2.0,73.0,2.0
