Google Common,Test,SO,IO,UI,Network,Security,OpenOffice Documents,Database,PDF,Logging,Latex
0.5,0.7058823529411765,0.3333333333333333,0.6721311475409836,0.5882352941176471,0.4444444444444444,0.0,0.0,0.0,0.0,0.5535714285714286,0.0
0.20512820512820512,0.2926829268292683,0.14285714285714285,0.9010989010989011,0.875,0.25,0.0,0.0,0.0,0.0,0.8493150684931506,0.0
0.29090909090909095,0.41379310344827586,0.2,0.7699530516431925,0.7035175879396985,0.32,0.0,0.0,0.0,0.0,0.6702702702702702,0.0
39.0,41.0,7.0,91.0,80.0,32.0,4.0,4.0,5.0,2.0,73.0,2.0
