Google Common,Test,SO,IO,UI,Network,Security,OpenOffice Documents,Database,PDF,Logging,Latex
0.5833333333333334,0.7692307692307693,0.3333333333333333,0.68,0.6178861788617886,0.7,0.0,0.0,0.0,0.0,0.5641025641025641,0.0
0.1794871794871795,0.24390243902439024,0.14285714285714285,0.9340659340659341,0.95,0.21875,0.0,0.0,0.0,0.0,0.9041095890410958,0.0
0.2745098039215686,0.37037037037037035,0.2,0.7870370370370372,0.748768472906404,0.3333333333333333,0.0,0.0,0.0,0.0,0.6947368421052632,0.0
39.0,41.0,7.0,91.0,80.0,32.0,4.0,4.0,5.0,2.0,73.0,2.0
