0
"Label, TN, FP, FN, TP"
"Google Common,94,5,38,5"
"Test,90,4,43,5"
"SO,130,1,11,0"
"IO,10,40,7,85"
"UI,14,36,3,89"
"Network,96,6,36,4"
"Security,138,1,3,0"
"OpenOffice Documents,135,1,6,0"
"Database,136,0,6,0"
"PDF,136,1,5,0"
"Logging,16,45,13,68"
"Latex,141,0,1,0"
