Google Common,Test,SO,IO,UI,Network,Security,OpenOffice Documents,Database,PDF,Logging,Latex
0.5625,0.6666666666666666,0.3333333333333333,0.6854838709677419,0.6,0.75,0.0,0.0,0.0,0.0,0.5603448275862069,0.0
0.23076923076923078,0.1951219512195122,0.14285714285714285,0.9340659340659341,0.9375,0.1875,0.0,0.0,0.0,0.0,0.8904109589041096,0.0
0.32727272727272727,0.3018867924528301,0.2,0.7906976744186046,0.7317073170731707,0.3,0.0,0.0,0.0,0.0,0.6878306878306878,0.0
39.0,41.0,7.0,91.0,80.0,32.0,4.0,4.0,5.0,2.0,73.0,2.0
