0
"Label, TN, FP, FN, TP"
"Google Common,95,4,40,3"
"Test,96,7,33,6"
"SO,129,1,11,1"
"IO,7,31,6,98"
"UI,17,31,10,84"
"Network,93,6,37,6"
"Security,140,0,2,0"
"OpenOffice Documents,139,0,3,0"
"Database,134,1,7,0"
"PDF,137,0,5,0"
"Logging,13,34,11,84"
"Latex,140,0,1,1"
