date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i
59:11.1,"(1, 1)",899,Yes,0.2,RandomForest,0.14084507,20,0.85915493,0.679593739,0.16314554,0.512575453,0.507092199,0.702702703,0.645598194,0.672941176,0
59:33.4,"(1, 1)",899,Yes,0.2,RandomForest,0.14084507,20,0.85915493,0.693205229,0.16842723,0.500592444,0.491134752,0.695979899,0.625282167,0.658739596,0
51:44.0,"(1, 1)",899,Yes,0.2,RandomForest,0.204225352,29,0.795774648,0.754436405,0.14084507,0.563123184,0.578207381,0.723076923,0.742663657,0.732739421,0
01:42.0,"(1, 1)",899,Yes,0.2,RandomForest,0.211267606,30,0.788732394,0.755346392,0.139084507,0.563972725,0.586387435,0.721030043,0.758465011,0.739273927,0
