Google Common,Test,SO,IO,UI,Network,Security,OpenOffice Documents,Database,PDF,Logging,Latex
0.5833333333333334,0.6666666666666666,0.3333333333333333,0.6744186046511628,0.608,0.5714285714285714,0.0,0.0,0.0,0.0,0.575,0.0
0.1794871794871795,0.14634146341463414,0.14285714285714285,0.9560439560439561,0.95,0.125,0.0,0.0,0.0,0.0,0.9452054794520548,0.0
0.2745098039215686,0.24,0.2,0.7909090909090909,0.7414634146341464,0.20512820512820512,0.0,0.0,0.0,0.0,0.7150259067357512,0.0
39.0,41.0,7.0,91.0,80.0,32.0,4.0,4.0,5.0,2.0,73.0,2.0
