date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i
45:47.2,"(1, 1)",895,Yes,0.2,RandomForest,0.223463687,40,0.776536313,0.816953915,0.140130354,0.611093376,0.623279099,0.766153846,0.769706337,0.767925983,0
45:49.2,"(1, 1)",895,Yes,0.2,RandomForest,0.184357542,33,0.815642458,0.77275544,0.155959032,0.547375188,0.552139037,0.730973451,0.69295302,0.711455642,1
45:51.2,"(1, 1)",895,Yes,0.2,RandomForest,0.240223464,43,0.759776536,0.798819004,0.136405959,0.591462712,0.60298103,0.74789916,0.756802721,0.752324598,2
45:53.3,"(1, 1)",895,Yes,0.2,RandomForest,0.195530726,35,0.804469274,0.775105308,0.144785847,0.563241554,0.590789474,0.726537217,0.759729272,0.742762614,3
45:55.3,"(1, 1)",895,Yes,0.2,RandomForest,0.184357542,33,0.815642458,0.780855576,0.14990689,0.544187284,0.570666667,0.749562172,0.705107084,0.726655348,4
45:57.4,"(1, 1)",895,Yes,0.2,RandomForest,0.234636872,42,0.765363128,0.788013691,0.136405959,0.59264432,0.616492147,0.757234727,0.768352365,0.762753036,5
45:59.4,"(1, 1)",895,Yes,0.2,RandomForest,0.217877095,39,0.782122905,0.803348895,0.136871508,0.587583134,0.613157895,0.770247934,0.750402576,0.760195759,6
46:01.5,"(1, 1)",895,Yes,0.2,RandomForest,0.268156425,48,0.731843575,0.800224121,0.142458101,0.584896249,0.606177606,0.763371151,0.746434231,0.754807692,7
46:03.6,"(1, 1)",895,Yes,0.2,RandomForest,0.229050279,41,0.770949721,0.788079206,0.148510242,0.561718542,0.585175553,0.751252087,0.725806452,0.73831009,8
46:05.6,"(1, 1)",895,Yes,0.2,RandomForest,0.234636872,42,0.765363128,0.826142019,0.143389199,0.585465993,0.604621309,0.759677419,0.747619048,0.7536,9
