0
"Label, TN, FP, FN, TP"
"Google Common,78,25,30,9"
"Test,80,16,27,19"
"SO,119,9,12,2"
"IO,11,27,21,83"
"UI,18,37,22,65"
"Network,78,20,29,15"
"Security,131,6,5,0"
"OpenOffice Documents,136,1,5,0"
"Database,133,4,5,0"
"PDF,137,3,2,0"
"Logging,26,33,27,56"
"Latex,137,3,1,1"
