0
"Label, TN, FP, FN, TP"
"Google Common,99,0,39,4"
"Test,94,0,48,0"
"SO,131,0,11,0"
"IO,4,46,2,90"
"UI,12,38,5,87"
"Network,100,2,39,1"
"Security,139,0,3,0"
"OpenOffice Documents,136,0,6,0"
"Database,136,0,6,0"
"PDF,137,0,5,0"
"Logging,18,43,7,74"
"Latex,141,0,1,0"
