0
"Label, TN, FP, FN, TP"
"Google Common,81,20,31,10"
"Test,78,21,28,15"
"SO,120,12,8,2"
"IO,11,33,20,78"
"UI,15,34,23,70"
"Network,82,22,23,15"
"Security,135,5,2,0"
"OpenOffice Documents,136,3,2,1"
"Database,137,1,3,1"
"PDF,132,9,1,0"
"Logging,19,41,23,59"
"Latex,138,0,4,0"
