0
"Label, TN, FP, FN, TP"
"Google Common,100,1,40,1"
"Test,99,0,43,0"
"SO,132,0,10,0"
"IO,1,43,3,95"
"UI,12,37,10,83"
"Network,103,1,35,3"
"Security,140,0,2,0"
"OpenOffice Documents,139,0,3,0"
"Database,138,0,4,0"
"PDF,141,0,1,0"
"Logging,10,50,14,68"
"Latex,138,0,4,0"
