0
"Label, TN, FP, FN, TP"
"Google Common,80,23,33,6"
"Test,98,11,22,11"
"SO,127,2,13,0"
"IO,16,28,17,81"
"UI,16,32,25,69"
"Network,80,12,41,9"
"Security,137,0,5,0"
"OpenOffice Documents,135,0,7,0"
"Database,132,2,8,0"
"PDF,139,0,3,0"
"Logging,16,35,33,58"
"Latex,140,0,2,0"
