0
"Label, TN, FP, FN, TP"
"Google Common,85,20,28,9"
"Test,71,32,25,14"
"SO,129,3,9,1"
"IO,15,30,20,77"
"UI,24,33,24,61"
"Network,80,26,22,14"
"Security,132,2,8,0"
"OpenOffice Documents,137,0,4,1"
"Database,130,3,9,0"
"PDF,134,0,8,0"
"Logging,27,37,32,46"
"Latex,136,4,1,1"
