0
"Label, TN, FP, FN, TP"
"Google Common,84,20,25,13"
"Test,78,21,26,17"
"SO,130,2,8,2"
"IO,14,30,18,80"
"UI,22,26,30,64"
"Network,72,26,32,12"
"Security,137,2,2,1"
"OpenOffice Documents,136,2,4,0"
"Database,131,5,6,0"
"PDF,135,2,5,0"
"Logging,20,36,30,56"
"Latex,138,2,1,1"
