0
"Label, TN, FP, FN, TP"
"Google Common,88,16,25,13"
"Test,84,15,34,9"
"SO,129,3,10,0"
"IO,11,33,19,79"
"UI,14,34,19,75"
"Network,67,31,29,15"
"Security,139,0,3,0"
"OpenOffice Documents,138,0,4,0"
"Database,136,0,6,0"
"PDF,137,0,5,0"
"Logging,17,39,32,54"
"Latex,139,1,2,0"
