Google Common,Test,SO,IO,UI,Network,Security,OpenOffice Documents,Database,PDF,Logging,Latex
0.35135135135135137,0.45161290322580644,0.3333333333333333,0.7608695652173914,0.62,0.46153846153846156,0.0,0.5,0.1,0.0,0.5666666666666667,0.0
0.3333333333333333,0.34146341463414637,0.42857142857142855,0.7692307692307693,0.775,0.375,0.0,0.25,0.2,0.0,0.6986301369863014,0.0
0.34210526315789475,0.3888888888888889,0.375,0.7650273224043715,0.6888888888888889,0.41379310344827586,0.0,0.3333333333333333,0.13333333333333333,0.0,0.6257668711656442,0.0
39.0,41.0,7.0,91.0,80.0,32.0,4.0,4.0,5.0,2.0,73.0,2.0
