Google Common,Test,SO,IO,UI,Network,Security,OpenOffice Documents,Database,PDF,Logging,Latex
0.6363636363636364,0.5714285714285714,0.3333333333333333,0.6590909090909091,0.5703703703703704,0.7142857142857143,0.0,0.0,0.0,0.0,0.5454545454545454,0.0
0.1794871794871795,0.0975609756097561,0.14285714285714285,0.9560439560439561,0.9625,0.15625,0.0,0.0,0.0,0.0,0.9863013698630136,0.0
0.28,0.16666666666666669,0.2,0.780269058295964,0.7162790697674419,0.25641025641025644,0.0,0.0,0.0,0.0,0.7024390243902439,0.0
39.0,41.0,7.0,91.0,80.0,32.0,4.0,4.0,5.0,2.0,73.0,2.0
