0
"Label, TN, FP, FN, TP"
"Google Common,97,2,40,3"
"Test,89,5,47,1"
"SO,129,2,11,0"
"IO,6,44,4,88"
"UI,6,44,1,91"
"Network,100,2,37,3"
"Security,138,1,3,0"
"OpenOffice Documents,135,1,6,0"
"Database,136,0,6,0"
"PDF,136,1,5,0"
"Logging,6,55,6,75"
"Latex,140,1,1,0"
