date_time,tf-IDF,#_TopTerms,Stop_Word,Train/Test_Size,Algorithm,Accuracy_Score,Accuracy_Score_not_normalized,zero_one_loss,AUC-PR,hamming_loss_avg,Jaccard_samples,Jaccard_macro,Precision,Recall,Fmeasure_Score,i,Hypothesis
07:16.5,"(1, 1)",900,Yes,0.2,DecisionTree,0.147887324,21,0.852112676,0.501142979,0.190140845,0.476056338,0.455462185,0.640661939,0.611738149,0.625866051,0,H6
07:16.8,"(1, 1)",900,Yes,0.2,DecisionTree,0.070422535,10,0.929577465,0.43615901,0.214788732,0.389783143,0.39,0.57635468,0.546728972,0.561151079,1,H6
07:17.1,"(1, 1)",900,Yes,0.2,DecisionTree,0.063380282,9,0.936619718,0.440611786,0.216549296,0.412217751,0.40483871,0.555309735,0.599045346,0.576349024,2,H6
07:17.3,"(1, 1)",900,Yes,0.2,DecisionTree,0.063380282,9,0.936619718,0.448869458,0.21713615,0.407916946,0.403225806,0.576036866,0.573394495,0.574712644,3,H6
07:17.6,"(1, 1)",900,Yes,0.2,DecisionTree,0.112676056,16,0.887323944,0.492742393,0.198943662,0.440333669,0.436877076,0.632211538,0.585746102,0.608092486,4,H6
07:17.9,"(1, 1)",900,Yes,0.2,DecisionTree,0.098591549,14,0.901408451,0.450693321,0.21185446,0.413433378,0.405271829,0.585714286,0.56812933,0.576787808,5,H6
07:18.2,"(1, 1)",900,Yes,0.2,DecisionTree,0.098591549,14,0.901408451,0.490052573,0.200117371,0.45221328,0.438220758,0.636363636,0.584615385,0.609392898,6,H6
07:18.5,"(1, 1)",900,Yes,0.2,DecisionTree,0.091549296,13,0.908450704,0.410403512,0.223004695,0.385837246,0.370860927,0.541062802,0.541062802,0.541062802,7,H6
07:18.8,"(1, 1)",900,Yes,0.2,DecisionTree,0.091549296,13,0.908450704,0.438822253,0.208920188,0.395858484,0.397631134,0.571776156,0.56626506,0.569007264,8,H6
07:19.1,"(1, 1)",900,Yes,0.2,DecisionTree,0.091549296,13,0.908450704,0.430846806,0.194248826,0.41176224,0.406810036,0.560493827,0.597368421,0.578343949,9,H6
07:20.5,"(1, 1)",900,Yes,0.2,LogisticRegression,0.091549296,13,0.908450704,0.73479599,0.164319249,0.498837469,0.492753623,0.713910761,0.613995485,0.660194175,0,H6
